Roster,Class_Year,Percent
2009-10,RS,0.666667
2009-10,JR,0.133333
2009-10,SO,0.133333
2009-10,SR,0.066667
2010-11,FR,0.500000
2010-11,JR,0.285714
2010-11,SO,0.214286
2011-12,SO,0.375000
2011-12,FR,0.250000
2011-12,JR,0.187500
2011-12,SR,0.187500
2012-13,JR,0.375000
2012-13,SO,0.250000
2012-13,FR,0.187500
2012-13,SR,0.187500
2013-14,SR,0.333333
2013-14,JR,0.266667
2013-14,FR,0.200000
2013-14,SO,0.200000
2014-15,FR,0.333333
2014-15,SR,0.266667
2014-15,JR,0.200000
2014-15,SO,0.200000
2015-16,FR,0.416667
2015-16,SO,0.250000
2015-16,SR,0.250000
2015-16,JR,0.083333
2016-17,FR,0.461538
2016-17,SO,0.384615
2016-17,JR,0.153846
2017-18,FR,0.294118
2017-18,JR,0.294118
2017-18,SO,0.294118
2017-18,SR,0.117647
2018-19,FR,0.312500
2018-19,SO,0.250000
2018-19,SR,0.250000
2018-19,JR,0.187500
2019-20,FR,0.384615
2019-20,SO,0.307692
2019-20,JR,0.153846
2019-20,SR,0.153846